case_name,alt_kft,Re_L,M_inf,alpha_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,CD_HF,CL_HF,CD_LF1,CD_LF2,CL_LF
case_0814,20.32,16210000,0.2064,16.7,165.8,198.2,426.5,1000,783.1,240.4,75.26,41.33,40.38,31.88,0.0910774,0.421589,0.041909818,0.040659608,0.811559687
case_0817,6.194,20240000,0.1092,17.76,165.8,198.2,426.5,1000,783.1,240.4,75.26,41.33,40.38,31.88,0.0993725,0.509629,0.041900893,0.040613839,0.811424772
case_0818,8.276,34660000,0.2504,7.192,165.8,198.2,426.5,1000,783.1,240.4,75.26,41.33,40.38,31.88,0.0178639,0.248829,0.041897841,0.040304243,0.811440724
case_0820,34.28,18630000,0.364,7.689,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.0176434,0.278439,0.042412098,0.041117891,-0.762486581
case_0821,25.91,860100,0.08823,1.541,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.022376,0.0591266,0.042418532,0.041944803,-0.76257602
case_0822,36.77,4760000,0.2932,14.12,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.0602068,0.400378,0.042422509,0.040665273,-0.762626131
case_0824,3.497,46670000,0.3985,3.873,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.00806224,0.151825,0.042444521,0.041034077,-0.762959303
case_0826,16.74,62240000,0.4865,18.45,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.119025,0.40157,0.042424068,0.040454923,-0.762681829
case_0827,14.82,3146000,0.1803,-6.827,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.0207411,-0.216727,0.042422509,0.040665273,-0.762626131
case_0828,31.82,7803000,0.2653,-1.191,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.00786005,-0.0331995,0.042425098,0.040782494,-0.762683961
case_0829,21.18,6303000,0.1164,-7.205,137.7,173.8,608.8,1000,792.3,227.6,83.6,47.94,42.73,39.36,0.0250009,-0.22991,0.042430149,0.04068807,-0.76278712
case_0830,30.6,630400,0.1666,-1.313,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0128342,-0.0233416,0.023856321,0.024061012,0.493585696
case_0831,36.83,5443000,0.2062,10.27,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0226167,0.226443,0.023935691,0.023223849,0.49567631
case_0832,23.81,10200000,0.09585,7.078,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0216533,0.166231,0.023938146,0.02310689,0.495697874
case_0834,9.586,5854000,0.06045,19.63,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0933677,0.381135,0.023937208,0.02316927,0.49566202
case_0835,34.54,14860000,0.4443,16.47,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0652206,0.231427,0.023933925,0.023164655,0.49560334
case_0836,13.35,43560000,0.4038,-7.492,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0111747,-0.181286,0.023933925,0.023164655,0.49560334
case_0837,24.68,7937000,0.3437,1.581,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.00803139,0.0436205,0.023937208,0.023169251,0.495662059
case_0838,17.91,29110000,0.2511,-6.479,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.0111199,-0.145643,0.023935659,0.023092685,0.495644181
case_0839,1.72,17980000,0.2755,4.411,129.8,72.91,544.1,1000,826.9,238.6,63.28,48.88,52.63,33.97,0.00851209,0.111624,0.023933925,0.023164655,0.49560334
case_0840,27.99,9020000,0.3388,11.54,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0284803,0.267916,0.063424202,0.06190569,1.009243639
case_0841,14.46,21720000,0.408,-2.51,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.00500931,-0.0636978,0.063483283,0.063332684,1.009834823
case_0842,2.36,32720000,0.2416,-9.036,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0176546,-0.227043,0.063424202,0.06190569,1.009243639
case_0843,36.18,3114000,0.05728,14.23,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0607651,0.329385,0.063477038,0.063188924,1.009671475
case_0844,22.65,1552000,0.4611,7.492,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0167315,0.191359,0.063449929,0.061877948,1.009350934
case_0845,32.74,4854000,0.1227,9.391,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0259565,0.230265,0.063480765,0.061756653,1.009769475
case_0846,29.39,17090000,0.2097,2.348,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.00787661,0.0650465,0.03554324,0.034147723,-0.648817836
case_0848,6.699,4929000,0.1526,-6.283,115.2,164.8,450,1000,620.5,227.1,60.15,54.15,53.86,29.51,0.0151629,-0.153133,0.035549741,0.034161647,-0.648975852
case_0850,19.44,41930000,0.4811,6.783,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.0104323,0.149592,0.023952561,0.023228053,-0.472245322
case_0852,8.718,23490000,0.1479,-8.871,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.0185863,-0.17131,0.023958726,0.023079106,-0.472408584
case_0853,29.46,4102000,0.2255,12.68,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.0306318,0.232518,0.023958726,0.023079106,-0.472408584
case_0854,21.58,17390000,0.4098,14.06,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.0372456,0.243423,0.023963029,0.023120492,-0.47250219
case_0855,12.33,46740000,0.314,17.81,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.072959,0.242651,0.023960399,0.023100337,-0.472448327
case_0856,1.66,20150000,0.1149,-0.9873,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.0105999,-0.0167827,0.023963029,0.023120492,-0.47250219
case_0857,27.03,7242000,0.3239,10.21,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.020761,0.200861,0.023960399,0.023100337,-0.472448327
case_0858,38.86,14290000,0.4375,-3.662,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.00566155,-0.0744643,0.023961371,0.023332303,-0.472448597
case_0859,32.77,12100000,0.2444,-4.521,123.9,127.7,322.3,1000,745.2,250.8,60.08,54.74,51.4,33.77,0.00903025,-0.0866577,0.023958222,0.023168911,-0.472398294
case_0861,18.34,11060000,0.1535,8.457,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.027454,0.284054,0.159810665,0.164961736,1.739856319
case_0862,24.04,18320000,0.2629,6.029,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0148084,0.214082,0.158259002,0.162704494,1.729586329
case_0863,39.59,1057000,0.07728,11.62,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0556489,0.363799,0.158187589,0.161791769,1.729147653
case_0864,1.225,10870000,0.1128,2.746,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0174027,0.098669,0.158078426,0.166234585,1.729000665
case_0865,35.33,11010000,0.1913,-1.221,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0103104,-0.0352728,0.158175302,0.16765161,1.7291426
case_0866,10.97,6360000,0.3188,-7.133,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0179051,-0.238879,0.158022078,0.163077958,1.728270279
case_0867,29.59,38320000,0.4417,-0.3543,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.00492517,-0.00585253,0.158187119,0.161790888,1.729145601
case_0868,5.193,31490000,0.4092,19.01,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.134912,0.427582,0.15816521,0.162665524,1.729402317
case_0869,15.29,2162000,0.4845,15.26,198.8,153.1,497.1,1000,724.5,221.6,76.27,45.8,51.31,29.06,0.0870419,0.360298,0.158084671,0.162865148,1.72884014
case_0870,4.967,2324000,0.4073,13.23,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0557833,0.383767,0.188275807,0.20297238,1.899307776
case_0871,39.71,5117000,0.3204,-9.714,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0269388,-0.314464,0.190627872,0.200519163,1.912457337
case_0872,14.48,12960000,0.2575,15.09,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0701305,0.415643,0.190233957,0.199288741,1.910220829
case_0873,35.01,8277000,0.1643,9.758,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0317782,0.32522,0.190233957,0.199288741,1.910220829
case_0874,23.61,27600000,0.2758,2.406,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.00821153,0.0907306,0.190627872,0.200519163,1.912457337
case_0875,27.2,23700000,0.4772,-6.513,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0156524,-0.22602,0.190059966,0.193205903,1.90891327
case_0876,3.17,35000000,0.2089,1.318,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.00887704,0.0526149,0.190310281,0.193287011,1.910061823
case_0877,28.73,42010000,0.435,-1.899,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.00533984,-0.0620557,0.190310281,0.193287011,1.910061823
case_0878,11.62,6404000,0.06593,6.045,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0328944,0.20633,0.190404274,0.1943958,1.910579282
case_0879,18.55,2071000,0.1025,17.74,193.9,113.7,509.9,1000,636.3,277.6,76.02,44,40.27,32.98,0.0937339,0.501415,0.190075841,0.194898541,1.909155773
case_0881,7.042,33940000,0.1865,15.02,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0371343,0.247355,0.045378559,0.04382147,0.856749099
case_0883,31.21,8723000,0.3905,19.15,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0648197,0.251424,0.045402836,0.044466996,0.857076784
case_0884,13.21,3955000,0.155,3.204,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0104959,0.0576652,0.01219821,0.012178093,0.089800051
case_0885,11.44,25130000,0.2727,8.371,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0134216,0.15091,0.045390376,0.044101262,0.856893438
case_0886,20.5,3810000,0.08442,13.29,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0369628,0.226317,0.045390376,0.044101262,0.856893438
case_0887,0.6297,6548000,0.4348,-8.893,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0150902,-0.155873,0.012199127,0.012177179,0.089900851
case_0888,38.32,28220000,0.4651,7.295,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.0118414,0.135872,0.045390376,0.044101262,0.856893438
case_0889,18.02,27740000,0.2858,0.6526,148.1,66.33,302.6,1000,680.5,271.4,83,45.55,44.09,33.13,0.00634918,0.0137228,0.045376713,0.044069032,0.856683974
case_0893,5.017,16960000,0.2044,9.504,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.0251633,0.291302,0.031565076,0.030424193,0.640620399
case_0894,38.72,4205000,0.1045,-2.364,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.0177297,-0.0647949,0.03151194,0.029903032,0.639607917
case_0895,9.127,25390000,0.4692,-6.298,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.0117808,-0.204504,0.031574784,0.030304481,0.640802401
case_0896,22.08,7764000,0.3845,14.95,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.059388,0.35142,0.031585177,0.030451087,0.641319873
case_0897,35.9,23610000,0.4345,18.97,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.11954,0.374722,0.031578845,0.030482193,0.640901999
case_0898,19.06,35860000,0.3247,1.844,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.00671902,0.0660029,0.031581424,0.030645505,0.640899829
case_0899,27.23,18600000,0.2873,5.644,195.3,134.1,510.1,1000,665.6,208.6,63.54,44.09,41.97,24.98,0.0124881,0.184398,0.031578845,0.030482193,0.640901999
case_0900,11.58,15050000,0.1392,7.132,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0214466,0.229136,0.236184214,0.251162524,2.17458181
case_0901,12.3,3895000,0.2248,3.701,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0135458,0.123037,0.012792534,0.01276909,0.098938688
case_0902,33.38,2491000,0.1605,-3.948,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0156342,-0.11103,0.012792534,0.01276909,0.098938688
case_0903,6.781,13030000,0.2777,13.73,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0586403,0.308629,0.236220497,0.258297485,2.174354346
case_0905,16.27,27120000,0.343,10.48,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0347144,0.294577,0.235959144,0.251144022,2.173365469
case_0906,20.72,8774000,0.08643,14.89,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.0641308,0.400182,0.236184214,0.251162524,2.17458181
case_0908,27.05,20200000,0.4309,19.59,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.124258,0.362733,0.235997662,0.253338274,2.173741337
case_0909,1.099,20680000,0.2537,0.7472,128.3,164.9,643.7,1000,765.8,210,69.24,58.05,46.81,28.32,0.00776663,0.0337258,0.012795215,0.012766234,0.099328008
case_0910,39.88,8325000,0.2656,-7.562,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0159286,-0.225483,0.068418299,0.066743127,1.083307337
case_0911,15.24,42590000,0.3235,17.15,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0887985,0.343528,0.068447758,0.066735934,1.083379416
case_0912,3.454,27010000,0.4869,5.925,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0114526,0.208748,0.06851805,0.066593702,1.084092037
case_0913,6.461,1827000,0.3699,1.475,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0104425,0.0534945,0.068232432,0.069605819,1.080926621
case_0915,22.12,10890000,0.09411,13.44,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0520056,0.377653,0.068456319,0.066733494,1.083503638
case_0916,8.146,10450000,0.3001,3.233,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.00842583,0.113038,0.06851805,0.066593702,1.084092037
case_0917,32.74,7573000,0.2203,-4.161,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0108969,-0.121365,0.068479678,0.068280208,1.083742546
case_0918,24.03,12140000,0.1664,9.948,178.7,50.51,671.5,1000,686.9,248,86.04,42.15,50.8,39.79,0.0274562,0.302508,0.06847426,0.066617103,1.083782839
case_0920,3.17,9962000,0.2384,-6.778,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0151738,-0.173577,0.013825046,0.013692034,0.213291692
case_0921,13.1,3312000,0.07755,9.954,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0382374,0.256097,0.198069658,0.206640767,1.948179153
case_0923,24.95,37240000,0.4654,2.236,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.00530105,0.0710505,0.013827217,0.013710564,0.2136111
case_0924,31.76,7580000,0.1348,11.61,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0350804,0.292498,0.196079086,0.210131799,1.937270471
case_0925,38.16,14210000,0.3485,-8.76,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0176385,-0.228103,0.195669203,0.203679428,1.934927063
case_0926,9.179,36760000,0.2285,14.58,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.055315,0.307701,0.196054164,0.20334963,1.936885924
case_0927,33.6,4266000,0.1583,7.708,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0221454,0.204314,0.195877063,0.204037156,1.935365744
case_0928,16.99,1098000,0.4023,17.33,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.0862148,0.311721,0.195590752,0.204405958,1.934150205
case_0929,4.248,28840000,0.2791,1.778,134.6,148.4,465.3,1000,800.5,233,62.79,56.22,44.73,33.12,0.00710036,0.0536891,0.013834018,0.01369381,0.213848898
case_0930,30.38,21610000,0.2759,19.54,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.114116,0.392307,0.123535713,0.124602139,1.491686243
case_0932,16.12,48020000,0.4185,9.68,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.0259521,0.236312,0.123535713,0.124602139,1.491686243
case_0933,32.9,2481000,0.3404,5.421,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.0131815,0.148047,0.123443357,0.122813391,1.491066482
case_0935,9.424,6014000,0.1163,-0.5584,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.0140472,-0.0119854,0.123442359,0.12168331,1.49117419
case_0938,20.78,17840000,0.2391,-5.81,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.0131061,-0.151746,0.123533893,0.124596574,1.49167736
case_0939,25.13,2203000,0.05805,14.04,177.7,158.8,321,1000,840.6,230.9,67.7,57.01,51.94,39.46,0.0706594,0.353325,0.123464469,0.122613209,1.491416101
case_0942,18.01,6372000,0.2536,15.52,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.0418275,0.277027,0.040435579,0.039014084,-0.785947614
case_0943,20.2,10010000,0.1363,-0.4404,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.00819898,-0.00709062,0.040364313,0.03777485,-0.784845961
case_0944,34.91,15500000,0.4225,7.949,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.0135674,0.157915,0.040443217,0.038593969,-0.786052049
case_0946,28.65,146200,0.05237,11.2,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.0530777,0.205473,0.040422652,0.039357932,-0.785758066
case_0947,14.21,49680000,0.3322,-3.339,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.00510704,-0.0641431,0.040443217,0.038593969,-0.786052049
case_0948,37.44,9672000,0.1627,17.25,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.054813,0.295288,0.04045654,0.038872177,-0.786290836
case_0949,0.6981,30340000,0.4977,-7.053,101.7,180.7,224.4,1000,607.5,265.9,88.49,47.68,52.21,36.29,0.0101211,-0.142475,0.0404448,0.03890966,-0.786125953
case_0951,18.2,8684000,0.3949,17.64,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.0880145,0.389127,0.147980607,0.148162871,1.680766798
case_0952,32,15320000,0.2744,-8.8,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.019876,-0.268741,0.147707042,0.148489174,1.679100404
case_0953,24.55,23770000,0.415,13.08,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.0556879,0.295191,0.147980607,0.148162871,1.680766798
case_0954,33.7,5528000,0.1407,-6.346,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.0204211,-0.185295,0.147980607,0.148162871,1.680766798
case_0955,7.216,53810000,0.3054,-1.897,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.00654432,-0.0538048,0.147987259,0.150143685,1.680669398
case_0956,1.088,12630000,0.2149,-0.8925,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.00864244,-0.0211199,0.147987109,0.150142511,1.680668108
case_0957,39.97,112900,0.07127,8.599,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.0635886,0.254973,0.147811093,0.153486387,1.679365456
case_0958,9.874,7713000,0.1181,15.61,162.5,151.4,540.1,1000,815.6,213.8,78.68,49.35,47.49,38.09,0.0698358,0.410833,0.14766249,0.148927148,1.678735836
case_0960,36.03,4557000,0.2884,3.188,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0122209,0.120274,0.104633001,0.107026396,1.412183844
case_0962,12.6,10720000,0.08323,16.15,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0810792,0.471227,0.104505413,0.10429208,1.410813598
case_0963,11.01,11240000,0.181,-9.012,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0257542,-0.297168,0.104580481,0.105798717,1.411357238
case_0964,32.34,1817000,0.3759,-5.653,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0153913,-0.188983,0.104505413,0.10429208,1.410813598
case_0965,2.354,49440000,0.2307,6.386,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0153126,0.239762,0.104505755,0.103342828,1.410922026
case_0966,22.12,5252000,0.2288,10.05,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0302399,0.333631,0.104527728,0.104096404,1.41115463
case_0967,26.53,31860000,0.4958,19.88,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.135751,0.444729,0.104527728,0.104096404,1.41115463
case_0968,31.06,4644000,0.1168,-1.861,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.015833,-0.0565036,0.104636544,0.104022968,1.41178523
case_0969,17.97,41320000,0.3427,12.67,174,139.9,625.1,1000,580.7,238.7,76.57,47.68,46.47,37.14,0.0585772,0.335633,0.104527728,0.104096404,1.41115463
case_0972,23.75,11350000,0.1497,2.751,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.0138749,0.0909618,0.092685516,0.096435126,1.298200128
case_0973,39.07,13320000,0.36,0.7723,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.00697493,0.0290889,0.093621739,0.094914178,1.301750402
case_0975,31.71,27020000,0.3849,-1.686,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.00594282,-0.052129,0.094367645,0.09367937,1.308086694
case_0976,11.63,291700,0.07099,9.981,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.0606752,0.301938,0.093490737,0.092447004,1.300410161
case_0977,4.644,11620000,0.3067,14.19,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.0608538,0.350741,0.093554605,0.092200837,1.301186454
case_0978,3.174,22340000,0.2189,19.52,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.131339,0.453366,0.093554605,0.092200837,1.301186454
case_0979,13.28,12110000,0.2332,12.16,191,178,397.6,1000,839.3,211.3,77.37,48.65,58.76,29.83,0.0438866,0.340066,0.093511872,0.092318921,1.300811638
case_0980,21.63,20580000,0.2428,-6.73,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0131875,-0.159424,0.142692724,0.150149556,1.686468471
case_0982,8.787,24130000,0.3424,-7.596,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0138105,-0.183057,0.142732203,0.147347197,1.686319299
case_0983,24.91,918100,0.1076,12.21,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0402704,0.277666,0.142565621,0.150356755,1.68506246
case_0984,4.295,42300000,0.4612,-0.6556,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.00357355,-0.014482,0.016365208,0.016081501,-0.28628907
case_0985,1.551,4555000,0.08574,8.085,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0271577,0.191944,0.142732203,0.147347197,1.686319299
case_0986,17.72,3410000,0.1933,5.876,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0154538,0.139805,0.142468863,0.14568826,1.684931327
case_0987,33.33,9726000,0.1522,19.56,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0817455,0.397339,0.142641315,0.145820085,1.685464115
case_0988,13.76,61340000,0.4463,14.71,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.0484059,0.301949,0.142481606,0.146019396,1.684599765
case_0989,30.01,19810000,0.4068,-2.685,132.2,199.9,262.9,1000,695,247.4,81.2,43.45,40.53,29.16,0.00750047,-0.0635119,0.016371247,0.016093514,-0.286380693
case_0990,33.61,11050000,0.1873,-0.5006,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.00676336,-0.00540652,0.103481302,0.105333708,1.36257176
case_0991,22.86,40330000,0.4934,10.36,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.021467,0.129644,0.103647903,0.104085118,1.363793171
case_0992,11.69,6530000,0.1127,-7.066,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.0160211,-0.112543,0.10363956,0.103026103,1.363831221
case_0993,25.72,43440000,0.4401,17.79,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.0598858,0.182814,0.103491731,0.103321709,1.362376056
case_0994,5.561,8684000,0.07684,3.753,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.0162336,0.064775,0.103647903,0.104085118,1.363793171
case_0996,1.214,32590000,0.1773,-5.753,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.0100472,-0.0924271,0.103493222,0.10250567,1.362535747
case_0997,29.33,4833000,0.3548,5.128,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.00890471,0.0883669,0.103491731,0.103321709,1.362376056
case_0999,18.63,3135000,0.3174,12.31,119.9,78.7,358.3,1000,788.7,211.4,66.2,58.11,45.46,25,0.0243907,0.179981,0.10351781,0.103213835,1.362768184
case_1002,26.28,22110000,0.2276,12.65,177,70.21,626.9,1000,604.5,262.8,77.85,53.78,44.91,29.01,0.047927,0.35457,0.024971061,0.024108637,-0.478996848
case_1003,10.89,9537000,0.2651,-8.638,177,70.21,626.9,1000,604.5,262.8,77.85,53.78,44.91,29.01,0.0213026,-0.264441,0.024989023,0.024151341,-0.479098512
case_1004,33.55,33350000,0.4715,8.491,177,70.21,626.9,1000,604.5,262.8,77.85,53.78,44.91,29.01,0.0202804,0.277965,0.024976623,0.024129841,-0.47904963
case_1005,4.874,34130000,0.285,16.4,177,70.21,626.9,1000,604.5,262.8,77.85,53.78,44.91,29.01,0.0911085,0.313953,0.024984266,0.024201561,-0.47900639
case_1006,14.09,19930000,0.1843,0.4487,177,70.21,626.9,1000,604.5,262.8,77.85,53.78,44.91,29.01,0.00945957,0.0241752,0.037498633,0.036686585,0.736853013
